,Title,Company,Location,Type,Salary,Contract_type,Job Description
0,HR Coordinator - Bilingual,IWCO Direct,"Chanhassen, MN 55317",Onsite,Full-time,Full-time,"Job Details
Description
Impactful. Disciplined. Measurable. That’s why savvy marketers turn to IWCO – to inspire performance across all marketing channels. From all-inclusive creative, digital and paper-based direct mail services to leading technology platforms, advanced postal optimization strategies and industry know-how, IWCO won’t just help you along the way; we’ll Power your Marketing™.
IWCO also plays an active role in our communities and works closely with industry partners, the U.S. Postal Service, and our Congressional representatives to build awareness of the mailing industry and its importance to the national economy.
If you’re thinking of a new career at IWCO , our pace is fast, but safety, quality and an enriching work environment are top priorities. We offer a competitive compensation and benefits package and on-site wellness programs – not to mention the opportunity to work with some of the most talented people around.
Job Summary:
The Human Resources Coordinator provides support to the Human Resources team.
Bi-lingual Vietnamese or Nepali-English skills preferred
Primary Duties/Responsibilities:
Prepare for and conduct orientation for new hires and contractors
Assist and maintain new hire orientation slide deck and applicable training videos
Review eligibility of internal applicants and rehires
Complete hiring process for all new hires in the HRMS system
Complete data entry for employee reviews, transfers, promotions, and terminations
Assist with employee questions such as; job applications, benefits and payroll, life events, and new hire enrollment
Follow up with new hires with no elections made and other questions from our benefits department
Create and mail employee communications, including employee wage notices and termination letters
Assist in the creation and maintenance of employee files
Completes and distributes weekly reports
Assist with the badging & security system
Assist with company events such as community giving and company-wide meetings
Act as a backup to the Guest Experience Specialist and Executive Assistants as business need requires
Coordinate with all HR teams including; Talent Acquisition, Safety, Benefits, and Payroll
Assist with various HR projects and reports
Support EHS team with data entry, reporting, and other duties or projects
Other projects and duties as assigned

Required Skills/Abilities/Competencies:
Proficient with Microsoft Office Suite or related software (Word, Excel, PowerPoint)
Excellent verbal and written communication skills with customer service approach
Strong attention to detail/accuracy is critical
Ability to establish priorities, meet deadlines, and follow through with limited direction
Excellent time management skills with proven ability to meet deadlines while adapting to changing priorities
Highly dependable and organized
Ability to maintain confidentiality
Ability to work a flexible schedule as needed to accommodate a 24/7 work environment
Experience presenting in front of a group preferred
Bi-lingual Vietnamese or Nepali-English skills preferred

Education and Experience:
Associate’s and/or Bachelor’s degree preferably in Human Resources
2-3 years’ experience in a relevant field
Previous administrative or customer service experience preferred
UKG experience preferred

Physical Requirements:
Ability to work 8 hours
Prolonged periods of sitting at a desk and working on a computer
Pre-employment background check and drug test required

IWCO is an Equal Opportunity Employer. All qualified applicants will be considered for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, veteran status, or any protected status as defined by law. Hiring Bonus: terms and conditions may apply; bonus is offered for a limited time only; please contact our HR team to learn more.

IND1"
1,Human Resources Manager,Saft Batteries,"Valdosta, GA 31601",Onsite,Full-time,Full-time,"About usSaft is a global battery company like no other. Thanks to our historical expertise, combined with our unique industrial approach, we have a leading position to meet the demands of the most demanding customers. Our batteries and battery systems make a difference for all the market sectors they serve.Established in 19 countries and supported by our 16 production sites, Saft has more than 4,000 employees across the planet and have been manufacturing batteries for more than 100 years.Since 2016, Saft is a wholly owned subsidiary of TotalEnergies, a broad energy company that produces and markets energies on a global scale: oil and biofuels, natural gas and green gases, renewables, and electricity.Their 105,000 employees are committed to energy that is ever more affordable, cleaner, more reliable, and accessible to as many people as possible. The Company is active in more than 130 countries and puts sustainable development in all its dimensions at the heart of its projects and operations to contribute to the well-being of people.Job SummaryAs the site Human Resource Manager at this unionized facility, you will manage the HR department staff of two while working closely with senior site management in supporting the strategic objectives of the organization. Some of the HR functions you will manage includes acquiring talent, compensation, benefits administration, employee relations, training, performance management, onboarding, local, country, and corporate policy implementation, affirmative action, and employment law compliance. You will develop a strategic plan for the local HR department in accordance with corporate and site objectives. You will cultivate a healthy work environment where everyone can thrive. You will also consult with the site General Manager on decisions to create sustainable change within the site.To us, an HR Manager is the go-to person for all employee-related issues. This means that your responsibilities will involve managing activities such as employee relations, performance management, training & development and talent management. This position reports directly to the site General Manager and you will be a member of the site executive committee.We appreciate diverse skills/experience and yours could add immense value to our team. Our customers have varied backgrounds and so do our employees. If you are excited about leaving your footprint on our human sustainability efforts, we would love to hear from you.All About youResponsibilitiesDevelop, implement, and monitor HR strategies and initiati
es across the organization and ensure alignment with the overall business strategy.
Bridge management and employee relations by addressing demands, grievances, or other issues.
Support current and future business needs through employee development, engagements, motivation, and retention.
Oversee and manage a performance appraisal system that drives high performance to include assessing training needs and monitoring training programs.
Maintain pay processes and benefits programs, using HR metrics to support decisions
Ensure legal compliance throughout human resource management.
Suggest changes in Company policies and procedures to address employee and company changing needs.
Create recruitment plans, interview schedules and evaluation standards in accordance with HR methodologies and labor laws.
Supervise all HR activities, communications, reports, requests, and documents created and received by the team.
Attend interdepartmental meetings with other managers.
Requirements
Effective and clear verbal/written communications skills as well as negotiation, time management, organizational, project management, and presentation skills.
Proven people-oriented and results-driven experience using HR metrics as an HR Manager
Management experience in a unionized facility, leading contract negotiations.
Ability to make quick decisions while maintaining integrity in decision-making.
Competence to build and effectively manage interpersonal relationships at all levels of the organization.
Strong knowledge of Microsoft Office
Degree in HR Management, HR Development, Business Administration or Management.
What we offer
Whether you are just getting started or are an experienced professional, we offer a robust total rewards package to include generous compensation based on market standards, healthcare, wellness, adoption assistance, discounted stock purchase, career development and recognition programs. Some of our superior benefits include parental (maternal and paternal) leave, 401K retirement contribution match at 7%, educational assistance (tuition reimbursement), Short-term Disability (STD), paid holidays, paid vacation, and paid employee referral award.
Concerns regarding COVID-19 continue as positive cases are experienced in the communities in which we operate. Please be aware that Saft may require proof of COVID vaccination in accordance with local statutory requirements (subject to exceptions). We are proud to be an equal opportunity employer committed to providing employment opportunities regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, and genetic information. If you require an accommodation to complete the application or interview process, please contact us by calling 410-967-7034 and ask for Billy Slowikowski
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Relocation assistance
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Application Question(s):
How many years of experience do you have in Human Resources?
How many years of experience do you have an a HR Manager?
Education:
Bachelor's (Required)
License/Certification:
SHRM Certified Professional (Preferred)
Work Location: One location

Health insurance"
2,Human Resources,United States Department Of Defense,"West Jordan, UT 84088",Onsite,"$25,575 - $100,695 ",ct,"As a Human Resources Specialist, you’ll play a crucial role assisting your fellow Soldiers progress in their Army careers, providing promotion and future training information. You’ll ensure the necessary support is also provided to commanders across all branches. You’ll be trained in document preparation, drafting requests, and overseeing official documentation, such as ID cards and tags. You’ll also learn computer programs that keep personnel data up to date.
Job Types: Full-time, Part-time, Contract
Pay: $25,575.11 - $100,694.93 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Parental leave
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
On call
Supplemental pay types:
Signing bonus
Application Question(s):
Are you willing to undergo a background check?
Education:
High school or equivalent (Preferred)
Work Location: One location

Health insurance"
3,Sr. Level Human Resources Administrator,AMPLER,"Joplin, MO",Onsite,"$100,000 ",r - Full-time,"SR. LEVEL HUMAN RESOURCES ADMINISTRATOR
Job Summary:
The Sr. Level Human Administrator will plan, lead, direct, develop, and coordinate the policies, activities, and staff of the Human Resource (HR) department, ensuring legal compliance and implementation of the organization’s mission and talent strategy.
Supervisory Responsibilities:
Recruits, interviews, hires new staff in the department
Oversees the daily workflow of the department – payroll, benefits, and risk management.
Provides constructive and timely performance evaluations.
Handles discipline and termination of employees in accordance with company policy.
HR Administration Duties/Responsibilities:
Collaborates with senior leadership to understand the organization’s goals and strategy related to HR administration, including benefits, payroll, and risk management.
Plans, leads, develops, coordinates, and implements policies, processes, training, initiatives, and surveys to support the organization’s human resource compliance and strategy needs.
Administers or oversees the administration of human resource programs including, but not limited to, compensation, benefits, and leave; disciplinary matters; disputes and investigations; performance; productivity, recognition, and morale; risk management, benefits, payroll or occupational health and safety.
Identifies staffing and recruiting needs; develops and executes best practices for hiring and talent management within department.
Conducts research and analysis of organizational trends including review of reports and metrics from the organization’s human resource information system (HRIS) or other systems used within the company to manage employee data.
Monitors and ensures the organization’s compliance with federal, state, and local employment laws and regulations, and recommended best practices; reviews and modifies policies and practices to maintain compliance.
Maintains knowledge of trends, best practices, regulatory changes, and new technologies in human resources, risk management and employment law; applies this knowledge to communicate changes in policy, practice, and resources to upper management.
Supports management of departmental budget.
Facilitates professional development, training for HR staff reporting to this position.
Reviews and assesses risk management policies and protocols; makes recommendations and implements modifications and improvements.
Recommends and implements risk management solutions such as insurance, safety and security policies, business continuity plans, or recovery measures.
Drafts and presents risk reports and proposals to executive leadership and senior staff.
Administer benefit programs, consult with, and advise employees on eligibility for all insurance and 401(k).
Develop census data and provide census to broker. Works collaboratively with broker on cost information for new plans and makes recommendations to leadership regarding plan options.
Work with benefits broker to secure benefits and maintain cost effective use of the benefits.
Coordinate yearly Open Enrollment Meetings with employees & broker. Arrange for distribution of materials from carriers and process changes with deadlines.
Ensure that employees understand benefit programs and works as liaison with insurance carriers/broker and employees to resolve issues where necessary.
Review payroll for accuracy, reviews and analyze changes to state and federal laws pertaining to benefits and reports communicates necessary or suggested changes to leadership.
Administer payroll system access and maintains workflow policies and access on behalf of company.
Manages distribution and follow up of correspondence to outside request, employment verifications, child support, unemployment, workers compensation, etc.
Handle confidential information with sensitivity and discretion
Required Skills/Abilities:
Excellent verbal and written communication skills.
Excellent interpersonal and negotiation skills.
Excellent organizational skills and attention to detail.
Excellent time management skills with a proven ability to meet deadlines.
Strong analytical and problem-solving skills.
Strong supervisory and leadership skills.
Ability to adapt to the needs of the organization and employees.
Ability to prioritize tasks and to delegate them when appropriate.
Thorough knowledge of employment-related laws and regulations.
Proficient with Microsoft Office Suite or related software.
Proficiency with or the ability to quickly learn the organization’s HRIS and talent management systems.
Education and Experience:
Bachelor’s degree in Human Resources, Business Administration, or related field required;
Master’s degree preferred.
At least five years of human resource management experience required.
SHRM-CP or SHRM-SCP highly preferred.
Job Type: Full-time
Pay: $100,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Vision insurance
Schedule:
10 hour shift
12 hour shift
Day shift
Monday to Friday
Weekend availability
Supplemental pay types:
Bonus pay
Ability to commute/relocate:
Joplin, MO: Reliably commute or planning to relocate before starting work (Preferred)
Experience:
Microsoft Office: 1 year (Preferred)
License/Certification:
Professional In Human Resources (Preferred)
Work Location: In person

Health insurance"
4,HR Assistant,Fernbrook Family Center,"Red Wing, MN 55066",Onsite,"$42,000 - $47,000 ",r - Full-time,"Fernbrook Family Center is seeking a motivated and organized individual in search of a challenging and rewarding opportunity in a fast-growing mental health organization.
In this role, you will provide professional expertise and guidance in employment law, disciplinary action, and employee relations.
This opportunity includes working with a creative and team-oriented work environment with a competitive compensation and benefits package.
Responsibilities:
Help ensure uniform application of HR policies and practices
Conduct interviews at multiple locations alongside county directors and coordinators
Staff engagement, development, and performance concerns.
Interpret and enforce guidelines related to Fair Labor Standards Act (FLSA), Occupational Safety and Health Act (OSHA), Family and Medical Leave Act, and other federal, state and local rules
Other Human Resources duties as assigned
Requirements:
Human Resource Certificate
Solid knowledge base of current employment laws and regulations; understanding of basic principles of recruitment, employee relations, performance management, training, and benefits
Demonstrated proficiency in project management, problem-solving, and conflict resolution
Ability to build relationships, establish personal credibility and rapport with Fernbrook staff of various levels
Ability to travel regularly between four locations; majority will be day trips
Excellent level of accuracy and detail-orientation
Strong interpersonal and communication skills
Extensive experience resolving complex employee relations issues
Excellent organizational skills and ability to work with confidential information
Excellent computer skills including Microsoft Office Word, Excel, Power Point
Fernbrook Family Center provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, military status, veteran status, pregnancy, national origin, age, disability or genetics any other classification protected by federal, state or local law.
Job Type: Full-time
Pay: $42,000.00 - $47,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Referral program
Vision insurance
Schedule:
8 hour shift
Supplemental pay types:
Signing bonus
Experience:
Human resources: 1 year (Preferred)
Work Location: In person

Health insurance"
5,"Dura-Line North America HR Business Partner, Optimization",Dura-Line,"Knoxville, TN 37934",Onsite,N,r - Full-time,"At Dura-Line, we aspire to create a more connected world, because we believe every company, every community, every person deserves the chance to advance their lives through better access to high-speed broadband. We take pride in our state-of-the-art quality products and being recognized a key partner with all of the major telecommunications companies across the world. In one year, Dura-Line produced over 1.4 billion feet of digital network infrastructure. Dura-Line creates what connects us. Every time you pick up your cell phone, log into the internet, or use your i-anything, it’s because our HDPE pathways protect that delicate string of glass called a fiber optic cable that carries everything from precious pictures of your puppy to the latest sports scores. Your safety, health, family, work, entertainment…your whole life; that’s our connection.

“Leading the World through People”

We at Dura-Line are looking for 2 NEW experienced and engaging Multi-Site People Business Partner (Human Resources Manager) to focus on Optimization, Continuous Improvement, and Footprint Expansion of our manufacturing sites. If you enjoy being part of something new, developing community partnerships, and providing credible people-service strategies, then this is the role for you!

We are looking for a hands-on HR Leader to work remotely to help draft and deploy standard work / operational procedures, project plans / roadmaps, annual improvement priority charters, action plans and bowlers. Must be experienced in using lean practices to develop root cause and corrective actions to solve people issues and deploy continuous improvement through visual management in business activities. This is a critical role for the organization where you can identify critical metrics, use data to support action planning and decision making, and leverage your subject matter expertise in employment & labor law, employee engagement, proactive employee relations.

You will partner and work alongside of the operations team and has demonstrable experience in change management & organizational development. You will have the chance to imagine, standardize, and shape the future culture of Dura-Line from within our leading manufacturing sites.

Multi-site People Business Partner, NA Optimization (with PBP direct reports for Evansville, WY; Clinton, TN; Gravenhurst, Canada; Elyria Garden Street, OH, and Elyria Sugar Lane, OH)

In this role, you will Partner with People Shared Services, Talent Management & Acquisition and Total Rewards (Compensation and Benefit) Teams to create solutions for people related items to and lead the execution and adoption of standard people processes within the regions. You will represent the voice of the customer, enable continuous improvement in all business activities, and be part of this transformation journey to become the company of choice.

You must be a high-performing proven leader with at least 8 years of demonstrable diverse HR/People Service experience in a matrixed manufacturing environment leading multiple sites worked within matrixed manufacturing organizations implementing cultural change – safety focus, empowerment, engagement, 5S, lean thought. Must be able to travel. You must have experience implementing talent management initiatives for North America utilizing standard work and systems to optimize recruitment and selection, performance management, employee engagement, learning & development, manager & team member experience, employee relations, and internal operations communications.

We offer you engagement, empowerment, and the opportunity to drive these programs and create a positive employee culture that will benefit the Dura-Line team.

Leading with boundaryless behavior

You must be willing to learn the business in order to provide timely people strategies while driving business results across the region.
You will execute strategic priorities aligned with operational business system (people, plan, process, and performance) and get a chance to build communities of practice by coaching, guiding, and developing broader strategic people capabilities within the operations people team.
Manage tactical people actions while documenting standard work, guidelines, and processes.
Promote team member engagement and retention, guide onboarding, performance management and learning and development, resolve team member relations items and communicate thoughtfully and proactively throughout the organization.
Continuous Improvement focused, interested in being better every day but recognizing the benefit of bringing others along with them.

Why work at Dura-Line?

We offer 401k with 6% company match (company will automatically contribute an extra 3% of your plan-eligible pay to your 401k).

Multi-tier benefits (Medical, Dental, Vision) that you can tailor for yourself and dependents which includes Employer paid Short-Term Disability, Long-Term Disability, & Life Insurance

Wellness Employee Assistance Program (EAP), paid parental leave, Fitness & Weight-loss Reimbursement

Critical illness insurance, hospital indemnity, legal services, accident insurance- additional benefits that fit your needs & lifestyle and help you feel protected

Additional benefits include tuition reimbursement, 11 paid company holidays, paid time off/vacation time, career development opportunities, and many other benefits in a collaborative culture that focuses on work & life balance, innovation, & teamwork. Benefits start at day one!

JOIN THE TEAM:  Discover how Dura-Line creates what connects us. Every day, in the little ways and the big ones, our lives depend on clear, consistent, reliable communication. Check out our products, history, and testimonials and apply today at www.Dura-Line.com.

All employees are subject to pre-employment Background Check and Drug Screening and employment is contingent upon successful clearance of both. Dura-Line is an Equal Opportunity Employer and participates in the federal E-Verify program to verify the work eligibility of all new hires.

#DLIND123 # USIND123

Join Our Team: Dura-Line offers all its employees an exciting work environment and provides career opportunities in a continuously growing company. We are committed to attracting, developing, and retaining a diverse workforce that represents our global customer base. Check out our products, history, and testimonials at www.Dura-Line.com

Dura-Line is part of a community of companies, known as Orbia , bound together by a shared purpose: to advance life around the world. Orbia’s business groups have a collective focus on insuring food security, reducing water scarcity, reinventing the future of cities and homes, connecting communities to data infrastructure, and expanding access to health and wellness with advanced materials. The business groups include Precision Agriculture, Building and Infrastructure, Fluor, Polymer Solutions, and Data Communications, which collectively pursue human centric solutions to global challenges."
6,Human Resources Generalist,U.S. Government,"Dallas, TX 75202",Onsite,"$37,331 - $84,530 ",ct,"As a Human Resources Specialist, you’ll play a crucial role assisting your fellow Soldiers progress in their Army careers, providing promotion and future training information. You’ll ensure the necessary support is also provided to commanders across all branches. You’ll be trained in document preparation, drafting requests, and overseeing official documentation, such as ID cards and tags. You’ll also learn computer programs that keep personnel data up to date.
Job Types: Full-time, Part-time, Contract
Pay: $37,331.00 - $84,530.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Parental leave
Referral program
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Supplemental pay types:
Signing bonus
Education:
High school or equivalent (Required)
Work Location: One location

Health insurance"
7,Human Resources Assistant,Vimo Inc,California,Remote,"$41,600 - $78,100 ",r - Full-time,"Hi. We're GetInsured, the market leader in SaaS-based state-based health insurance exchanges (the fastest-growing segment of health insurance delivery). In other words, we help people get insured millions, in fact. While our mission has always been to make finding and enrolling in health insurance simple, our vision has grown. We're expanding our pioneering SaaS model to public health and safety net services, not just state health insurance platforms. That means there are millions more across the country that we can have an impact on. As our vision grows, so does our team. We're looking for people who are passionate about what they do to join our crew comprised of founders, technology leaders, former exchange directors, CIOs, and policy staff, to name a few.
What we offer
Positions within the company that allow you to make an immediate impact. Our teams are reshaping rapidly growing and evolving market segments. You will ultimately help craft the company's next success story. We're a well-funded and stable private company. GetInsured is an Equal Opportunity Employer.
Opportunity to work remotely
A knowledgeable, dedicated, and experienced team
Health, Dental, Vision, Life, Disability
401k match
Stock options
Yearly Education allowance
Charitable contribution matching
A competitive base salary (geography/location and experience may impact compensation)
GetInsured is looking for a Human Resources Assistant to join our corporate team. The HR Assistant will assist HR with Administrative duties.
Responsibilities
Maintains accurate and up-to-date human resource files, records, and documentation.
Answers frequently asked questions from applicants and employees relative to standard policies, benefits, hiring processes, etc.; refers more complex questions to appropriate senior-level HR staff or management.
Maintains the integrity and confidentiality of human resource files and records.
Performs periodic audits of HR files and records to collect and file all required documents appropriately.
Provides clerical support to the HR department.
Assists with planning and execution of special events such as benefits enrollment, organization-wide meetings, employee recognition events, holiday parties, and retirement celebrations.
Facility-related needs (ordering supplies, calling for vendor repairs, etc.)
Performs other duties as assigned
Skills/Experience Required
Excellent verbal and written communication skills.
Excellent interpersonal skills with the ability to manage sensitive and confidential situations with tact, professionalism, and diplomacy.
Excellent organizational skills and attention to detail.
Proficient with Microsoft Office Suite or related software.
Proficient with or able to quickly learn human resource information systems (HRIS), and similar computer applications.
Excellent time management skills with a proven ability to meet deadlines"
8,Associate Human Resources Generalist,Clarks,"Hanover, PA",Onsite,N,r - Full-time,"The Associate Human Resources Generalist is here t o support business areas by assisting line managers in the delivery of people management processes. Provide a professional administrative service, to employees, line managers and the wider HR team in all transactional aspects of employee lifecycle events. To provide expert and commercially sound advice and guidance on all transactional employee lifecycle events. Support to HR Business Partner.

What You'll Be Doing:
Work at all times to Company Policies and Procedures and within the administrative function. Work flexibly across the HR department and provide cover and assistance for other HR team as required.

Provide knowledgeable and commercially balanced guidance and advice on HR policies and procedures to line managers which are in line with Company policy and legislations; ensuring the best practice is adhered to at all times.

Establish key relationships and work with line managers to ensure effective management of employee lifecycle events; coaching and influencing where required and working to raise line manager capability in managing employee lifecycle events. Escalate situations as appropriate as well as capability themes to the HR Business Partner.

Establish key relationships between Employees, Managers and Directors to ensure compliance with Company policies, Federal, State and Local regulations and the completion of employees’ personnel records.

Take instruction from any of the following; HR SVP, HR Business Partners on any required administration to support specific ER cases.

Provide administrative support for HR team in the delivery of significant organizational projects and one off activities.

Act as back-up to p roactively check and challenge the accuracy of information provided before entering into ADP and SAP

Serve as back-up for HRSC team and assist with duties as needed.

Follow up on missing data; help track relevant HR metrics

Run and provide standard reports as required

Participate in systems testing and escalate systems and process issues to the HRBPs

Respond to queries escalated from the HR Service team

Highlight and escalate any process improvements which would deliver an improved service and/or enable greater efficiency

Research and provide knowledgeable guidance and advice on HR policies, I-9 issues and new hire procedures to managers which are in line with Company policy and legislation; ensuring that best practice is adhered to at all times.

Act as a brand ambassador at all times – specifically when working with external providers

Take responsibility for all necessary documentation and administrative follow up for ER caseload working with the HR Generalists to ensure delivery

Work at all times to Company Policies and Procedures and within the administrative guidelines. Pro-actively identify opportunities for process improvement and raise accordingly.

Serve as the back-up for Unemployment process. Work with outside vendor to ensure that all cases are properly coded and responded to. Work with line managers on appeal and hearing. Keep comprehensive database of all unemployment claims and charges. Work with outside vendor to ensure proper billing and support.

Assist with Immigration cases from state to finish. Work with outside legal counsel to ensure that all cases are handled properly and efficiently. Work with impacted employees to manage expectations and ensure they understand the process. Complete all paperwork, applications and requirements in a timely fashion within deadlines to ensure best chance for Visa approval.

Act as main resource and company representative to all employees during their employment life cycle . Serve as internal customer service for our employment base. Provide direct one on one check in meetings for corporate employees upon 6 months and one year of hire.

What You'll Bring With You:
2+ years of experience working in an HR capacity.

Bachelor’s Degree in HR, Business Administration or related area preferred

Best practice HR processes and procedures and all existing policies and associated administration

Some knowledge of federal, state and local laws preferred

Knowledge of Unemployment and Immigration processes and laws

Experience in a distribution environment highly welcomed, preferably in an environment where confidentiality is paramount

Operated as an HR Assistant, or similar role preferred

Ability to follow through on deliverables and meet objectives and deadlines

Ability to take initiative and work independently

About Clarks

Clarks, based in Somerset, England, has been at the forefront of innovative shoemaking since its foundation in 1825, when brothers James and Cyrus Clark made a slipper from sheepskin off-cuts. At the time it was ground-breaking: a combination of invention and craftsmanship that has remained at the heart of what the brand does now. In the Clarks archive of more than 22,000 pairs are shoes that have sparked revolutions and defined generations. From the original Clarks Desert Boot, first designed by Nathan Clark and launched in 1950, to the iconic Wallabee, each design has an instantly recognizable signature that makes it unmistakably Clarks.

This season, we’re proud to introduce the Clarks Collective: five incredible activists championing authentic social change. From mental health awareness and LGBTQ+ rights to greater racial equality, these trailblazers are committed to creating a brighter future for us all – bringing to life Clarks’ new global campaign, For the World Ahead. Through spotlighting their stories and supporting their chosen charities and initiatives, we’re ready to lead the way. After all, we’re originators, not imitators. It’s who we are, who we’ve always been. And to change the world of tomorrow, we’re doing things differently today.

Clarks International believes that the principle of equality of opportunity is fundamental to the company's operations. Our long held aim is to provide just and fair treatment for all employees. We will not discriminate on the grounds of sex, age, disability, marital status, colour, race, religion, ethnic origin, sexual orientation or gender reassignment."
9,Human Resources Assistant,EforAll,Remote,Onsite,"$60,000 - $65,000 ",r - Full-time,"Human Resources Assistant
Title of Position: Human Resources Assistant

Reports to: Director of Human Resources

Job Type: Full-Time

Location: Remote (preferably EST or CST time zone)

Hours: Monday - Friday, 9:00 am - 5:00 pm


Position Summary:
EforAll is growing and hiring a support professional to handle daily administrative tasks for the Human Resources team. The Human Resources Assistant will ensure effective and efficient operations by supporting functions related to employee onboarding, benefits administration, and upkeep of employee and employer records and files. Maintaining the integrity and confidentiality of the human resource files and records are essential to this position.

Responsibilities:

Benefits Administration:
Ensuring compliance and benefits administration is efficient and accurate with great attention to detail.
Monitoring premiums and tracking appropriate administration of benefits.
Assists with planning and execution of special events such as benefits enrollment, org-wide retreat planning, and employee recognition events.
Employee and Employer Files:
Maintaining complete, accurate, and up-to-date employee files.
Updating and maintaining various onboarding and financial-related spreadsheets.
Provides clerical support to the HR department.
Onboarding:
Conducts and assists with new hire orientation and welcome meetings.
Facilitates completion of paperwork.
Employee file management.
Answers frequently asked questions from applicants and employees relative to onboarding, HR system inquiries, and standard policies and procedures.
Completes I-9 verifications through E-Verify.
Knowledge/Experience/Skills/Abilities:
Exceptional written and verbal communication.
Proficient with google suite.
Interpersonal with the ability to manage sensitive and confidential information with tact, professionalism, and diplomacy.
Organizational skills and attention to detail.
Excellent time management skills.
Strong analytical and problem-solving skills.
The ability to self-manage.
Comfortable working in a remote environment.
Bilingual (Spanish) preferred but not required.

EforAll provides equal opportunities to all employees and applicants for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, genetic disposition, neurodiversity, disability, veteran status, or any other protected category under federal, state and local law."
